Stations_id,von_datum,bis_datum,geoBreite,geoLaenge
2503,19750701,20030502,50.6266,10.1455
2522,19490101,20081031,49.0382,8.3641
2532,19490101,20131101,51.2963,9.4424
2542,20040601,20160401,47.8652,10.6007
2559,19490101,20180716,47.7233,10.3348
2564,19790101,20180716,54.3761,10.1433
2565,19490101,19881014,54.3378,10.0929
2597,19490101,20180716,50.2241,10.0792
2601,19490101,20180716,50.2218,8.4469
2630,20111101,20130501,51.835,6.1105
2638,19490101,20180716,48.1054,8.7549
2656,19490524,19891231,50.3519,7.5906
2667,19490101,20180716,50.8646,7.1575
2703,19790101,20001011,51.855,9.3239
2712,19520101,20180716,47.6774,9.1901
2773,19930301,20180716,49.4283,11.9016
2794,19900611,20180716,52.9363,12.4093
2796,19911101,20180716,53.9156,12.279
2798,19790101,19990514,51.6,6.15
2812,19920801,20180716,48.3647,7.828
2829,19790101,20180710,48.0772,10.9144
2843,19890523,20151231,50.0075,8.6547
2886,19790103,20180716,48.2176,9.9097
2899,20111101,20160101,50.362,10.9441
2905,19790101,20180716,48.1849,10.8507
2907,19790101,20180716,54.7903,8.9514
2925,19760401,20180716,51.3933,10.3123
2926,19790102,19921218,48.4333,10.2333
2928,19941013,20180716,51.3151,12.4462
2932,19750701,20180716,51.4348,12.2396
2961,19790101,20180716,54.4996,10.2737
2985,19910305,20180716,50.9383,14.2093
3015,19750701,20180716,52.2085,14.118
3023,19501001,20180716,52.5181,7.3081
3028,19710401,20180716,51.7855,8.8388
3032,19490101,20180716,55.011,8.4125
3044,20070701,20180601,52.7198,7.7472
3085,19490101,19850214,53.8773,10.6915
3086,19850215,20180716,53.8025,10.6988
3093,19490101,20180716,52.9724,11.1374
3097,19880217,19931019,51.2,7.6333
3098,19940112,20180716,51.2452,7.6425
3126,19750701,20180716,52.1029,11.5827
3154,20121101,20160301,52.6111,9.51
3158,19900611,20180716,52.5468,14.5452
3166,19900611,20180711,50.651,13.1469
3167,19490101,20180716,50.662,7.9602
3170,19901030,20121221,54.4937,11.2405
3196,19770420,20180716,53.3223,11.9319
3231,19790101,20180716,50.5612,10.3771
3245,19790101,20021120,47.9833,10.2333
3246,19790102,20070614,50.3667,7.3167
3254,19700401,20180716,52.7156,7.3176
3268,19930301,20180716,48.1694,8.9433
3287,19871005,20180716,49.7176,9.0997
3362,19790101,20180716,48.9721,8.8734
3366,19530101,20180716,48.2791,12.5024
3379,19790101,20180716,48.1631,11.5429
3390,19490101,19920516,48.1369,11.7094
3404,19490101,19891002,51.9494,7.5906
3443,20041201,20170701,51.2748,9.1975
3477,19790102,19910328,48.0667,11.6333
3478,19770420,20050817,53.5468,13.1914
3484,19790101,20180716,48.7097,11.2096
3513,19900206,20180716,50.5002,11.1344
3518,19811001,19940624,47.976,8.9101
3538,19790101,19960419,54.0833,9.9333
3552,19750701,20180716,52.9037,12.8072
3575,19490616,19830110,49.357,8.1405
3603,19930301,20180716,49.3895,9.9666
3623,19790101,20180716,50.8294,6.6602
3631,19490101,20180716,53.7123,7.1519
3639,19790101,20180716,53.7647,8.6583
3657,20051031,20150910,50.9081,7.5543
3659,19490101,19950306,50.3391,6.9501
3660,19950306,20180716,50.3601,6.8697
3668,19490101,20180716,49.503,11.0549
3730,19490101,20180716,47.3986,10.276
3735,19490101,19511231,48.2635,12.276
3761,19490101,20180716,49.207,9.5175
3775,19580101,20010816,50.1029,8.7468
3784,20111101,20160101,49.4707,10.2084
3791,19790101,20121001,53.1763,8.1824
3811,19830103,20180716,51.296,13.0928
3815,19490101,20101130,52.2553,8.0534
3816,20140701,20160301,52.2266,8.1165
3821,19900611,20180716,51.0873,11.9292
3847,20111101,20171016,53.8225,8.9444
3868,19790101,19900403,53.0802,7.3845
3873,19911101,19960227,54.3667,13.0833
3879,19490101,19970103,48.5779,13.4694
3897,19840912,20180716,54.0893,10.8773
3921,19790101,19970528,49.85,7.6
3946,19750701,20180716,50.4819,12.13
3987,19750701,20180716,52.3813,13.0622
3997,19911101,19941230,51.6667,14.6333
4024,19900611,20180716,54.3643,13.4771
4026,19860301,19960709,54.5,11.2167
4027,20111101,20160101,49.2997,11.2894
4039,19900102,20180716,53.7331,9.8776
4104,19490101,20180716,49.0424,12.1021
4154,20110201,20180701,51.18,7.2505
4174,19930228,20171220,52.2887,7.3866
4177,20081101,20180716,48.9726,8.3301
4190,19790101,19940128,48.1667,9.5
4271,19750701,20180716,54.1803,12.0808
4280,19930301,20180716,49.2164,11.1036
4281,19911009,19940930,50.9304,8.1924
4290,20040901,20170418,53.5169,14.2044
4336,19490101,20180716,49.2128,7.1077
4371,19501001,20180716,52.1042,8.7521
4393,19991201,20180716,54.3279,8.6031
4464,19900611,20180716,50.5679,11.8041
4466,19510312,20180716,54.5275,9.5487
