Stations_id,von_datum,bis_datum,geoBreite,geoLaenge
704,19910101,20180703,53.4451,9.139
722,19510101,20180713,51.7986,10.6183
755,20040601,20180713,49.5182,9.3213
757,20040601,20180713,47.9625,7.9983
760,20171201,20180713,53.3629,9.9435
766,20020101,20180713,50.1746,7.0595
769,20020101,20180713,52.2817,9.0889
817,20050201,20180713,51.0306,8.8146
840,19910101,20180713,50.4313,12.6114
850,20020101,20180713,52.5959,10.0296
853,19510101,20180713,50.7913,12.872
856,19910101,20180713,47.8843,12.5404
863,20071001,20120405,51.7904,10.347
867,19470101,20180713,50.3067,10.968
876,19730101,19890101,51.304,13.0096
879,20020101,20030611,51.7667,14.2833
880,19560101,20180713,51.776,14.3168
891,19510101,20180713,53.8713,8.7058
896,20040801,20180713,51.0778,10.8619
917,20040901,20180713,49.8809,8.6779
919,19580101,19710101,49.8697,8.6796
920,19710101,19870929,49.8564,8.5929
953,19550101,20180713,49.7619,7.0541
954,20000501,20180713,54.1796,7.4587
963,19940103,20180713,52.5881,8.3424
979,20040901,20180713,50.7364,8.2672
982,19760101,19780601,48.5701,10.4985
983,20061201,20180713,48.5562,10.5599
991,20050201,20180713,50.9117,13.7087
998,19961001,20090201,48.7968,8.4921
1001,19810101,20180713,51.6451,13.5747
1048,19730101,20180713,51.128,13.7543
1050,20060401,20180713,51.0221,13.847
1051,20070301,20180713,51.024,13.7737
1052,20040701,20180713,52.2174,12.1641
1072,20040601,20180713,49.4719,8.1929
1076,19960514,20090101,48.0135,8.5343
1078,19760301,20180713,51.296,6.7686
1103,20061001,20180606,48.1002,11.9872
1107,20041201,20180713,49.852,10.499
1130,20020101,20050422,54.6282,9.3649
1161,20050201,20180713,48.8777,11.2349
1197,19480101,20180713,48.9895,10.1312
1200,20020101,20180626,54.0691,9.0105
1207,20060301,20180713,50.2705,12.2742
1214,20040801,20180713,48.2012,8.1089
1219,19710101,19981102,53.3449,7.1909
1221,19490101,19710101,53.3707,7.2236
1224,20021201,20180713,48.1378,7.8351
1228,20020101,20180713,54.1651,6.346
1239,20040701,20080923,47.8516,8.7673
1246,20150801,20180713,51.8418,8.0607
1255,20021201,20180713,49.1664,8.8523
1262,19920517,20180713,48.3477,11.8133
1266,20040601,20180713,54.2992,9.3162
1270,19510101,20180713,50.9829,10.9608
1279,19861101,20180713,49.6497,11.0074
1281,19941101,20010501,49.5653,10.9729
1297,20041001,20180713,51.2041,10.0138
1300,20040601,20180713,51.254,8.1565
1303,19510101,20180713,51.4041,6.9677
1327,20040801,20180713,50.7119,6.7905
1332,20050301,20180713,48.4832,12.7241
1339,20020101,20180713,52.9157,10.1885
1341,20081201,20110929,54.6,11.15
1346,19520101,20180713,47.8749,8.0038
1357,20050301,20180713,49.9807,11.8376
1358,19510101,20180713,50.4283,12.9535
1411,20070101,20180713,50.5309,10.048
1420,19810101,20180713,50.0259,8.5213
1421,19620101,19840901,50.1474,8.6746
1424,20080801,20180713,50.1269,8.6694
1425,19480101,19620101,50.1213,8.6601
1426,19610101,19850101,52.3397,14.508
